latitude,longitude,depth,mag,place
29.9311,94.8843,10.0,5.1,163 km NNE of Shi Yomi
29.8333,94.9838,8.0,6.4,156 km NNE of Shi Yomi
11.9798,95.0763,10.08,5.0,256 km E of Port Blair
12.8183,92.0967,26.18,5.0,140 km NNW of Bamboo Flat
10.2437,93.1611,83.98,5.0,163 km SSE of Port Blair
30.3422,94.8528,28.2,5.0,206 km NNE of Shi Yomi
24.3214,93.6199,53.23,5.1,5 km WSW of Chur?ch?ndpur
13.7401,92.548,19.13,5.0,226 km N of Bamboo Flat
25.1865,94.6658,74.07,5.1,55 km SSE of Phek
24.0437,93.4825,59.8,5.0,37 km SSW of Chur?ch?ndpur
30.6544,79.1645,16.05,5.1,36 km NW of P?palkoti
24.0151,92.0177,32.0,5.7,18 km ENE of ?mb?sa
29.979,80.6321,31.96,5.2,18 km NE of Dh?rchula
10.1636,91.7111,20.94,5.0,201 km SW of Port Blair
11.3506,91.5047,10.0,5.2,137 km WSW of Bamboo Flat
10.2153,93.6895,10.0,5.3,190 km SSE of Port Blair
25.7595,90.5452,10.0,5.0,38 km SE of Lakhipur
14.2933,93.204,10.0,5.1,291 km N of Bamboo Flat
30.4,94.8689,10.0,5.1,212 km NNE of Shi Yomi
26.6384,90.41,26.0,5.1,18 km N of B?sugaon
14.0119,93.5776,48.57,5.2,272 km NNE of Bamboo Flat
10.7112,91.9645,29.31,5.3,135 km SW of Port Blair
14.1208,92.9493,27.07,5.1,269 km N of Bamboo Flat
14.0702,92.8474,27.94,5.1,262 km N of Bamboo Flat
24.628,94.4094,94.115,4.4,"35 km E of Wāngjing, India"
33.0354,76.1883,10.0,4.4,"44 km E of Bhadarwāh, India"
22.4513,89.1394,9.751,5.3,"26 km SE of Tāki, India"
27.1964,88.0455,10.0,4.3,"20 km WNW of Naya Bāzār, India"
27.2107,88.2146,10.0,4.8,"9 km NNW of Naya Bāzār, India"
11.6818,91.6573,10.0,4.7,"115 km W of Bamboo Flat, India"
27.3763,88.1143,10.0,4.6,"17 km NW of Gyalshing, India"
27.2112,88.1201,10.0,4.4,"14 km NW of Naya Bāzār, India"
27.3275,88.1279,10.0,4.6,"13 km WNW of Gyalshing, India"
24.8154,95.327,138.782,4.5,"125 km SE of Phek, India"
33.8448,74.6106,10.0,4.8,"14 km W of Tsrār Sharīf, India"
26.1647,90.6121,10.0,4.2,"1 km SW of Goālpāra, India"
26.721,92.3835,38.01,4.5,"9 km WNW of Dhekiajuli, India"
